HexIndex,HexName,Palace,LineNum(1=bottom),Stem,Branch,Element,SixRel(日干=木)
1,乾,乾,1,甲,子,水,父母
1,乾,乾,2,甲,寅,木,兄弟
1,乾,乾,3,甲,辰,土,妻財
1,乾,乾,4,壬,午,火,子孫
1,乾,乾,5,壬,申,金,官鬼
1,乾,乾,6,壬,戌,土,妻財
2,坤,坤,1,乙,未,土,妻財
2,坤,坤,2,乙,巳,火,子孫
2,坤,坤,3,乙,卯,木,兄弟
2,坤,坤,4,癸,丑,土,妻財
2,坤,坤,5,癸,亥,水,父母
2,坤,坤,6,癸,酉,金,官鬼
3,屯,坎,1,庚,子,水,父母
3,屯,坎,2,庚,寅,木,兄弟
3,屯,坎,3,庚,辰,土,妻財
3,屯,坎,4,戊,申,金,官鬼
3,屯,坎,5,戊,戌,土,妻財
3,屯,坎,6,戊,子,水,父母
4,蒙,離,1,戊,寅,木,兄弟
4,蒙,離,2,戊,辰,土,妻財
4,蒙,離,3,戊,午,火,子孫
4,蒙,離,4,丙,戌,土,妻財
4,蒙,離,5,丙,子,水,父母
4,蒙,離,6,丙,寅,木,兄弟
5,需,坤,1,甲,子,水,父母
5,需,坤,2,甲,寅,木,兄弟
5,需,坤,3,甲,辰,土,妻財
5,需,坤,4,戊,申,金,官鬼
5,需,坤,5,戊,戌,土,妻財
5,需,坤,6,戊,子,水,父母
6,訟,離,1,戊,寅,木,兄弟
6,訟,離,2,戊,辰,土,妻財
6,訟,離,3,戊,午,火,子孫
6,訟,離,4,壬,午,火,子孫
6,訟,離,5,壬,申,金,官鬼
6,訟,離,6,壬,戌,土,妻財
7,師,坎,1,戊,寅,木,兄弟
7,師,坎,2,戊,辰,土,妻財
7,師,坎,3,戊,午,火,子孫
7,師,坎,4,癸,丑,土,妻財
7,師,坎,5,癸,亥,水,父母
7,師,坎,6,癸,酉,金,官鬼
8,比,坤,1,乙,未,土,妻財
8,比,坤,2,乙,巳,火,子孫
8,比,坤,3,乙,卯,木,兄弟
8,比,坤,4,戊,申,金,官鬼
8,比,坤,5,戊,戌,土,妻財
8,比,坤,6,戊,子,水,父母
9,小畜,巽,1,甲,子,水,父母
9,小畜,巽,2,甲,寅,木,兄弟
9,小畜,巽,3,甲,辰,土,妻財
9,小畜,巽,4,辛,未,土,妻財
9,小畜,巽,5,辛,巳,火,子孫
9,小畜,巽,6,辛,卯,木,兄弟
10,履,艮,1,丁,巳,火,子孫
10,履,艮,2,丁,卯,木,兄弟
10,履,艮,3,丁,丑,土,妻財
10,履,艮,4,壬,午,火,子孫
10,履,艮,5,壬,申,金,官鬼
10,履,艮,6,壬,戌,土,妻財
11,泰,坤,1,甲,子,水,父母
11,泰,坤,2,甲,寅,木,兄弟
11,泰,坤,3,甲,辰,土,妻財
11,泰,坤,4,癸,丑,土,妻財
11,泰,坤,5,癸,亥,水,父母
11,泰,坤,6,癸,酉,金,官鬼
12,否,乾,1,乙,未,土,妻財
12,否,乾,2,乙,巳,火,子孫
12,否,乾,3,乙,卯,木,兄弟
12,否,乾,4,壬,午,火,子孫
12,否,乾,5,壬,申,金,官鬼
12,否,乾,6,壬,戌,土,妻財
13,同人,離,1,己,卯,木,兄弟
13,同人,離,2,己,丑,土,妻財
13,同人,離,3,己,亥,水,父母
13,同人,離,4,壬,午,火,子孫
13,同人,離,5,壬,申,金,官鬼
13,同人,離,6,壬,戌,土,妻財
